"","logFC","logCPM","F","PValue","FDR"
"rno-miR-3068-3p",0.160943329723333,8.63873903949393,1.99740260453153,0.18146246372588,0.809061923904889
"rno-miR-28-5p",0.343346551049133,4.51024807025377,2.67434754857472,0.182760677792236,0.810372895485355
"rno-miR-499-5p",-0.284858495612142,6.96652033143117,1.91850231072024,0.191453297995879,0.844277658375269
"rno-miR-122-5p",0.852848053302421,2.35221844224961,3.1032499690921,0.193650337699005,0.849325122408135
"rno-miR-326-3p",0.189772175986846,6.69617468186364,1.85903723651117,0.196274708100061,0.856182105063509
"rno-miR-323-5p",0.506060832994282,3.38916371737542,3.00553117503536,0.207789538943679,0.896717422072452
"rno-miR-3556a",-0.188149029087874,9.43316279602048,1.7667209443602,0.207031851547268,0.896717422072452
"rno-miR-107-3p",-0.171787453799804,7.91819143916463,1.74855955183075,0.209237444034348,0.898162858168717
"rno-miR-150-3p",0.942323082977581,2.10993298604843,5.86128483182304,0.21079704095657,0.900069905036782
"rno-miR-664-3p",0.19939168783994,5.78859677805102,1.73592863890714,0.216076910114353,0.917758244538331
"rno-miR-541-3p",0.674439058420722,2.68457825911246,1.90368993768666,0.221491298240112,0.930955612915473
"rno-miR-532-3p",0.659465907269604,2.73101194501715,4.77621458886164,0.221458987707691,0.930955612915473
"rno-miR-7b",0.257191004280992,11.4681519865044,1.72635488414244,0.224987099289945,0.940749166461067
"rno-miR-379-3p",0.200404329127729,5.80789549059668,1.59091563372634,0.229735099369713,0.950941553264154
"rno-miR-342-3p",-0.236209524271769,6.95630560634264,1.59157141725291,0.229781416216245,0.950941553264154
"rno-miR-100-3p",0.716691439898877,2.51401369249256,3.63396658478793,0.232577204369106,0.957601040438104
"rno-miR-99b-3p",0.214738981132432,7.62827009782807,1.53251395777301,0.238085393519542,0.965311716232412
"rno-miR-221-3p",-0.141230326977965,10.0782610479756,1.5257925990606,0.238973749154888,0.965311716232412
"rno-miR-384-5p",-0.143408817579887,8.8061347827401,1.5240022966552,0.239234626079904,0.965311716232412
"rno-miR-342-5p",-0.653733496085852,2.68317723638689,3.92939602047813,0.235902533484154,0.965311716232412
"rno-miR-539-5p",0.216280629635806,6.19959712272337,1.50791828902871,0.241595398939124,0.969987497233201
"rno-miR-152-3p",0.228167900438937,6.97745685342389,1.49642560583867,0.243435384906048,0.972536413956341
"rno-miR-336-5p",1.62670098665331,1.09121294942806,4.79777882206361,0.297501787473717,1
"rno-miR-547-5p",1.58365593304918,1.08736429182384,2.87716219544799,0.308246481358429,1
"rno-miR-3075",1.46892770188992,1.07760678176863,4.58757540633618,0.337717364950711,1
"rno-miR-466b-3p",1.28689347529856,1.27948166854319,2.47554609290058,0.373374084076298,1
"novel_274",1.26643761718997,1.28130446708307,3.11795952787725,0.379613642630997,1
"rno-miR-6314",1.2212725811257,1.05882482218854,2.31840640600077,0.405445637664301,1
"rno-miR-3548",1.22002821853989,1.22372291774251,2.65346201177226,0.423979923650035,1
"rno-miR-743b-5p",1.16140925162746,1.30785466750187,2.46759728188959,0.405158892260169,1
"rno-miR-875",1.15835485575702,1.0545124582447,2.20380179787671,0.423566411625083,1
"rno-miR-743a-5p",1.15800265712238,1.21147301882319,2.64713731022439,0.452368558929057,1
"rno-miR-2985",1.11992786094781,1.48357243450709,4.18610807853354,0.341924834662969,1
"rno-miR-181b-2-3p",1.03668977183003,1.19580385783784,1.92084015868195,0.505895608324302,1
"rno-miR-208a-5p",1.0176398459319,1.04547572165473,2.32567479758972,0.465523556410155,1
"rno-miR-3546",1.0176398459319,1.04547572165473,2.32567479758972,0.465523556410155,1
"rno-miR-5132-5p",0.963936196695763,1.14450637931164,1.34721625543884,0.554390150027759,1
"rno-miR-6216",0.947715151817336,1.09108203750142,1.38711684090918,0.568578421944718,1
"novel_281",0.943258785012331,1.09042908377149,1.28675566524003,0.570326453464739,1
"rno-miR-3120",0.938200738580143,1.84810619360711,3.40188954838733,0.289176049818199,1
"novel_355",0.934664633094406,1.09412641718171,1.03021437476015,0.57430279155487,1
"rno-miR-6328",0.927786595955296,1.09357775157666,1.21534622258423,0.577099203309553,1
"rno-miR-653-3p",0.920875610700731,1.09302887732716,1.28925455651931,0.579913709093444,1
"novel_439",0.919452595037543,1.35918055675352,1.59353112372434,0.482698255469751,1
"novel_390",0.897643526889707,1.27744614867893,1.66278795768733,0.528096512944678,1
"rno-miR-450b-3p",0.889948440990344,1.61293817020173,2.46002101361785,0.394910146954982,1
"rno-miR-1247-5p",0.881341654876061,1.08565864999636,1.14849687850228,0.595419992371256,1
"rno-miR-764-3p",0.86565404650714,1.34703825332629,1.89366315067972,0.512817468921433,1
"rno-miR-3594-5p",0.86144184135356,1.55729230538605,1.72737145368379,0.430408949260969,1
"rno-miR-30b-3p",0.838628449532154,1.12832878340995,1.12416000606903,0.6103710976106,1
"rno-miR-200a-5p",0.838604259974888,1.2688931314958,1.32117390580187,0.558264277650324,1
"rno-miR-10b-3p",0.812734430862332,1.03371468271951,1.81575924097888,0.530600019668835,1
"novel_503",0.804050663456049,1.18075182276338,0.933054423374483,0.608719728119258,1
"novel_475",0.802033180104542,1.03314255480125,1.78717734108582,0.534147628804555,1
"novel_361",0.776846210017491,1.12307067071924,0.831352883044051,0.637745660365466,1
"rno-miR-365-5p",0.758493714800873,1.03085609541069,1.45124291957158,0.548754964247917,1
"rno-miR-499-3p",0.758493714800873,1.03085609541069,1.45124291957158,0.548754964247917,1
"novel_402",0.749195588049085,1.0763643443209,0.879892416949974,0.650337172163464,1
"rno-miR-15a-5p",0.749118421138332,1.2469166298726,0.829909849345668,0.608385959146641,1
"rno-miR-489-5p",0.747380889427401,1.03028283289688,1.64869500433099,0.552529621662149,1
"novel_393",0.745777949064197,2.14477950389642,4.43596522027626,0.307818282771341,1
"rno-miR-3595",0.744475454018368,2.25933491529397,2.64991784162139,0.277888480478766,1
"novel_459",0.741735762263681,1.12002040292397,0.771015386472502,0.653462970700327,1
"rno-miR-3561-3p",0.736181799030034,1.02970934260401,1.408467734326,0.556353429223792,1
"rno-miR-122b",0.722257558702773,2.17559217125207,1.54823369098864,0.314411360591527,1
"rno-miR-6318",0.720585578463238,1.20230191197007,0.929119272431894,0.638195452046649,1
"rno-miR-3552",0.71376840238642,1.65953117717545,1.42554622531316,0.476043534872609,1
"rno-miR-155-5p",0.712777140527618,1.8075923909666,2.22376736440714,0.428577675879425,1
