"","miRNA_ID","logFC","logCPM","F","PValue","FDR","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"51","rno-miR-30c-5p",-0.247290914365311,12.1271986483332,6.67479606225488,0.0229579435989411,0.363275695771479,31490,31755,32640,31709,29572,29050,4632.31289638157,5093.72048412774,4831.28685558485,3959.39456042941,3836.54918863701,4475.10160358733
"52","rno-miR-3578",0.333085809675749,8.81663061751806,6.60173442397047,0.0235793051339825,0.365932677752382,2863,2383,2622,3419,4238,3409,421.159473557969,382.249595770002,388.101536009297,426.918855911828,549.820622935333,525.150477336634
"53","rno-miR-140-5p",-0.355636343907347,7.48541942440103,6.37717745678078,0.025616829693854,0.390052482319626,1304,1220,1413,1086,1236,1107,191.823944645334,195.696393973731,209.148539428351,135.605111880739,160.353537033523,170.531410505032
"54","rno-miR-1839-5p",-0.277524867503372,9.57062785437886,6.25664145883321,0.0267958416197732,0.398667886379537,5140,5237,6057,5436,5368,4430,756.11585542716,840.050832164288,896.541191307519,678.774758916846,696.422157601903,682.433738516071
"55","rno-miR-582-3p",-0.380246556633,7.3378882870273,6.21962496871794,0.0271706737929052,0.398667886379537,1118,1146,1309,1293,1049,773,164.462553768009,183.826284831062,193.754733270851,161.452495084526,136.092929084277,119.079295682375
"56","rno-miR-195-5p",-0.40632739890261,7.0799627118584,6.16093114554321,0.0277777646842817,0.400297430360989,907,1083,1004,754,958,815,133.423556589968,173.720651371763,148.609436366642,94.1494054862586,124.286964788119,125.5493220972
"57","rno-let-7d-3p",-0.333762386353888,7.62706094240052,5.88590483087828,0.0308447558505867,0.421893524939381,1365,1366,1585,1260,1360,1206,200.79730401908,219.115798498457,234.607526534987,157.331897762183,176.44078508543,185.782187054262
"58","rno-miR-135a-5p",-0.42604519195445,8.65981310991294,6.02706322831586,0.0304766910352139,0.421893524939381,2978,2791,3366,2288,2242,2947,438.076462541261,447.695602934987,498.226456982187,285.69474768244,290.867823648187,453.980186773558
"59","rno-miR-30b-5p",-0.500315586707245,8.50333688378397,6.2017850757475,0.0301715711673142,0.421893524939381,2567,2948,2822,1794,2040,2650,377.616614957494,472.879483143082,417.705009389107,224.010654432822,264.661177628145,408.227857125866
"60","rno-miR-145-3p",0.575664275237853,5.34014993163107,5.92875852515126,0.0316144168391043,0.425213906485953,249,163,202,239,421,350,36.6289587551289,26.146321489933,29.8995081136072,29.8431139406045,54.6188018536515,53.9168867902088
"61","rno-miR-300-3p",0.336097133834457,10.618957779763,5.69123262388954,0.0344318591498047,0.434560294557811,10539,7916,9081,12611,16610,9934,1550.33171212974,1269.78086450497,1344.14570881023,1574.69251006261,2154.9128237272,1530.3152953541
"62","rno-miR-1843a-5p",0.30463489107939,10.0029930455802,5.72134469304763,0.0328711050910217,0.434560294557811,6956,5231,5986,10387,8552,6428,1023.25717711115,839.08839088245,886.031958257687,1296.9892238538,1109.50117209603,990.222137964177
"63","rno-miR-708-5p",-0.475498207420377,7.15741596092618,5.73431950398178,0.0340175436070371,0.434560294557811,849,1129,1251,914,717,949,124.891509972307,181.099367865855,185.169725990706,114.128059170345,93.0206197840098,146.191787325452
"64","rno-miR-34a-5p",-0.478343031377054,5.95477700529245,5.6084647091554,0.0344632699525401,0.434560294557811,401,537,436,361,322,413,58.9888050634808,86.1384947245031,64.5355719679839,45.0768373747206,41.7749505864033,63.6219264124464
"65","rno-miR-143-5p",0.708248669694622,4.05685443210365,5.55754212594823,0.0371916043152574,0.437814596275833,110,64,46,101,161,137,16.1814677231493,10.2660403396056,6.80879887735609,12.6115251380797,20.8874752932016,21.1046099721674
"66","rno-miR-183-5p",0.657083836291918,4.08514194827561,5.4539737015518,0.0378781110505887,0.437814596275833,78,76,75,120,100,176,11.4741316582332,12.1909229032816,11.1013025174284,14.983990263065,12.9735871386346,27.1124916430764
"67","rno-miR-3553",0.657083836291918,4.08514194827561,5.4539737015518,0.0378781110505887,0.437814596275833,78,76,75,120,100,176,11.4741316582332,12.1909229032816,11.1013025174284,14.983990263065,12.9735871386346,27.1124916430764
"68","rno-miR-411-3p",0.437350498874356,8.10407028334063,5.46284386368184,0.0377481874762417,0.437814596275833,1721,1329,1551,3096,2594,1428,253.166417741273,213.180743927122,229.57493606042,386.586948787078,336.534850376181,219.980898104052
"69","rno-miR-218b",-0.189841722743095,14.0870742822801,5.35497396168789,0.0379764829483375,0.437814596275833,120360,121389,124584,124163,133929,103275,17705.4677741659,19471.630793506,18440.5956377507,15503.8098586079,17375.3955189019,15909.3328093109
