"","miRNA_ID","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"67","rno-miR-485-3p",660,426,538,725,521,704,97.088806338896,68.3333310104996,79.6333433916865,90.5282745060179,67.5923889922861,108.449966572306
"68","rno-miR-485-5p",1327,1094,1326,1583,1421,2367,195.207342441992,175.485127055133,196.271028508134,197.663804886933,184.354673239997,364.632202949783
"69","rno-miR-487b-3p",1648,1411,1826,1807,1754,2593,242.427807343183,226.334108112242,270.279711957657,225.633920044654,227.55671841165,399.447106991461
"70","rno-miR-487b-5p",6,2,8,4,4,10,0.882625512171782,0.320813760612674,1.18413893519236,0.499466342102168,0.518943485545383,1.54048247972025
"71","rno-miR-493-3p",345,240,326,527,433,311,50.7509669498775,38.4976512735209,48.2536616090889,65.8046905719606,56.1756323102877,47.9090051192998
"72","rno-miR-493-5p",660,491,557,543,637,807,97.088806338896,78.7597782304116,82.4456733627684,67.8025559403693,82.6417500731022,124.316936113424
"73","rno-miR-494-3p",95,74,113,66,165,95,13.9749039427199,11.870109142669,16.7259624595921,8.24119464468577,21.406418778747,14.6345835573424
"74","rno-miR-494-5p",1,0,1,1,0,2,0.14710425202863,0,0.148017366899046,0.124866585525542,0,0.30809649594405
"75","rno-miR-495",4142,3148,3559,5593,4638,5550,609.305811902587,504.96085920435,526.793808793703,698.378812844356,601.714971489871,854.967776244739
"76","rno-miR-496-3p",543,436,533,608,629,765,79.8776088515463,69.937399813563,78.8932565571913,75.9188839995295,81.6038631020114,117.846909698599
"77","rno-miR-496-5p",1,2,0,1,0,0,0.14710425202863,0.320813760612674,0,0.124866585525542,0,0
"78","rno-miR-539-3p",130,160,114,195,110,124,19.1235527637219,25.665100849014,16.8739798264912,24.3489841774807,14.270945852498,19.1019827485311
"79","rno-miR-539-5p",472,418,418,474,704,520,69.4332069575135,67.0500759680489,61.871259363801,59.1867615391069,91.3340534559873,80.105088945453
"80","rno-miR-540-3p",171,155,162,232,295,302,25.1548270968958,24.8630664474823,23.9788134376454,28.9690478419257,38.272082058972,46.5225708875516
"81","rno-miR-540-5p",26,29,18,41,45,25,3.82471055274439,4.65179952888378,2.66431260418282,5.11953000654722,5.83811421238555,3.85120619930063
"82","rno-miR-541-3p",20,20,27,20,29,66,2.94208504057261,3.20813760612674,3.99646890627423,2.49733171051084,3.76234027020402,10.1671843661537
"83","rno-miR-541-5p",7192,7074,7755,7717,8137,9378,1057.97378058991,1134.71827128703,1147.8746803021,963.595440500607,1055.66078547069,1444.66446948165
"84","rno-miR-543-3p",3071,2055,2883,3815,3437,4624,451.757157979924,329.636139029523,426.734068769948,476.366023779943,445.90218995487,712.319098622644
"85","rno-miR-543-5p",19,22,23,25,31,33,2.79498078854398,3.52895136673942,3.40439943867805,3.12166463813855,4.02181201297671,5.08359218307683
"86","rno-miR-544-3p",1,0,1,1,2,0,0.14710425202863,0,0.148017366899046,0.124866585525542,0.259471742772691,0
"87","rno-miR-544-5p",1,3,2,0,1,0,0.14710425202863,0.481220640919012,0.296034733798091,0,0.129735871386346,0
